iter	Passed	Remaining
0	1	116
1	2	106
2	3	101
3	3	93
4	5	99
5	6	102
6	10	144
7	11	137
8	13	135
9	14	130
10	15	126
11	16	121
12	17	116
13	18	112
14	19	108
15	20	107
16	21	106
17	22	104
18	24	104
19	25	102
20	26	99
21	27	96
22	27	93
23	28	91
24	29	88
25	30	86
26	31	84
27	31	82
28	32	80
29	33	77
30	34	77
31	35	76
32	37	76
33	38	75
34	39	74
35	40	72
36	41	71
37	42	69
38	43	68
39	45	68
40	46	67
41	47	66
42	49	64
43	55	70
44	57	70
45	58	68
46	59	66
47	60	65
48	60	63
49	61	61
50	62	60
51	64	59
52	69	61
53	71	60
54	71	58
55	73	57
56	73	55
57	74	54
58	75	52
59	76	50
60	77	49
61	79	48
62	81	47
63	82	46
64	85	45
65	87	44
66	88	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	36
72	94	34
73	101	35
74	103	34
75	104	32
76	105	31
77	106	29
78	106	28
79	108	27
80	109	25
81	110	24
82	112	23
83	113	21
84	114	20
85	115	18
86	116	17
87	117	15
88	118	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	126	6
95	128	5
96	130	4
97	131	2
98	133	1
99	134	0
