iter	Passed	Remaining
0	0	948
1	1	868
2	2	823
3	3	797
4	3	786
5	4	776
6	5	765
7	6	780
8	7	808
9	8	816
10	9	818
11	9	812
12	10	808
13	11	812
14	12	807
15	13	800
16	13	796
17	14	793
18	15	788
19	16	786
20	16	782
21	17	778
22	18	776
23	19	772
24	19	769
25	20	769
26	21	766
27	22	772
28	23	777
29	24	781
30	24	779
31	25	777
32	26	775
33	27	772
34	27	769
35	28	766
36	29	764
37	30	763
38	30	761
39	31	759
40	32	758
41	33	755
42	33	753
43	34	752
44	35	751
45	36	750
46	37	755
47	38	758
48	39	758
49	39	756
50	40	754
51	41	752
52	41	750
53	42	749
54	43	748
55	44	746
56	45	744
57	45	742
58	46	741
59	47	740
60	48	739
61	48	738
62	49	737
63	50	737
64	51	735
65	52	739
66	53	741
67	54	740
68	54	739
69	55	737
70	56	737
71	57	736
72	57	735
73	58	733
74	59	731
75	60	730
76	60	729
77	61	728
78	62	726
79	63	724
80	63	723
81	64	722
82	64	717
83	65	716
84	66	715
85	67	717
86	68	717
87	69	716
88	69	715
89	70	714
90	71	712
91	72	711
92	72	710
93	73	708
94	74	707
95	74	706
96	75	704
97	76	702
98	77	701
99	77	700
100	78	699
101	79	699
102	80	698
103	80	696
104	81	695
105	82	696
106	83	696
107	84	695
108	84	694
109	85	694
110	86	693
111	87	691
112	87	690
113	88	689
114	89	688
115	90	686
116	90	684
117	91	683
118	92	682
119	92	681
120	93	680
121	94	678
122	94	677
123	95	676
124	96	674
125	97	675
126	98	678
127	99	677
128	100	677
129	101	676
130	101	674
131	102	673
132	103	672
133	103	671
134	104	670
135	105	669
136	106	668
137	106	667
138	107	666
139	108	665
140	108	664
141	109	661
142	110	660
143	110	659
144	111	658
145	112	660
146	113	659
147	114	658
148	115	657
149	115	656
150	116	655
151	117	654
152	117	652
153	118	651
154	119	650
155	120	650
156	121	651
157	122	650
158	122	649
159	123	648
160	124	646
161	124	645
162	125	644
163	126	643
164	127	642
165	128	644
166	129	643
167	129	643
168	130	642
169	131	641
170	132	640
171	132	639
172	133	638
173	134	637
174	135	636
175	135	635
176	136	636
177	137	635
178	138	633
179	139	633
180	139	632
181	140	631
182	141	630
183	141	629
184	143	631
185	144	631
186	145	630
187	145	630
188	146	629
189	147	628
190	148	627
191	148	625
192	149	625
193	150	624
194	150	622
195	151	621
196	152	620
197	153	619
198	153	618
199	154	617
200	155	616
201	155	615
202	156	614
203	157	614
204	158	614
205	159	614
206	160	613
207	160	612
208	161	611
209	162	610
210	162	609
211	163	608
212	164	607
213	165	606
214	165	605
215	166	604
216	167	603
217	167	602
218	168	601
219	169	600
220	169	599
221	170	598
222	171	597
223	172	597
224	173	597
225	174	596
226	175	596
227	175	595
